Organism/Name,origin,order,family,genus
Acidianus bottle-shaped virus,RefSeq-85,,Ampullaviridae,Ampullavirus
Acidianus bottle-shaped virus 2,RefSeq-85,,Ampullaviridae,
Acidianus bottle-shaped virus 3,RefSeq-85,,Ampullaviridae,
Acidianus filamentous virus 1,RefSeq-85,Ligamenvirales,Lipothrixviridae,Gammalipothrixvirus
Acidianus filamentous virus 2,RefSeq-85,Ligamenvirales,Lipothrixviridae,Deltalipothrixvirus
Acidianus filamentous virus 3,RefSeq-85,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus
Acidianus filamentous virus 6,RefSeq-85,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus
Acidianus filamentous virus 7,RefSeq-85,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus
Acidianus filamentous virus 8,RefSeq-85,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus
Acidianus filamentous virus 9,RefSeq-85,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus
Acidianus rod-shaped virus 1,RefSeq-85,Ligamenvirales,Rudiviridae,Rudivirus
Acidianus rod-shaped virus 2,RefSeq-85,Ligamenvirales,Rudiviridae,
Acidianus spindle-shaped virus 1,RefSeq-85,,Fuselloviridae,Betafusellovirus
Acidianus tailed spindle virus,RefSeq-85,,Bicaudaviridae,
Acidianus two-tailed virus,RefSeq-85,,Bicaudaviridae,Bicaudavirus
Aeropyrum pernix ovoid virus 1,RefSeq-85,,Guttaviridae,Betaguttavirus
Aeropyrum pernix spindle-shaped virus 1,RefSeq-85,,,
Archaeal BJ1 virus,RefSeq-85,Caudovirales,Siphoviridae,
Haloarcula hispanica icosahedral virus 2,RefSeq-85,,Sphaerolipoviridae,Alphasphaerolipovirus
Haloarcula hispanica virus PH1,RefSeq-85,,Sphaerolipoviridae,Alphasphaerolipovirus
Haloarcula hispanica virus SH1,RefSeq-85,,Sphaerolipoviridae,Alphasphaerolipovirus
Halorubrum phage HF2,RefSeq-85,,Myoviridae,
Halovirus HCTV-1,RefSeq-85,,Siphoviridae,
Halovirus HCTV-2,RefSeq-85,,,
Halovirus HCTV-5,RefSeq-85,,Siphoviridae,
Halovirus HF1,RefSeq-85,,Myoviridae,
Halovirus HGTV-1,RefSeq-85,,,
Halovirus HHTV-1,RefSeq-85,,,
Halovirus HHTV-2,RefSeq-85,,,
Halovirus HRTV-4,RefSeq-85,,,
Halovirus HRTV-5,RefSeq-85,,,
Halovirus HRTV-7,RefSeq-85,,,
Halovirus HRTV-8,RefSeq-85,,,
