Organism/Name,origin,order,family,subfamily,genus
Acholeplasma virus L2,RefSeq-94,,Plasmaviridae,,Plasmavirus
Acholeplasma virus MV-L51,RefSeq-94,,Inoviridae,,Plectrovirus
Achromobacter phage 83-24,RefSeq-94,Caudovirales,Siphoviridae,,Jwxvirus
Achromobacter phage JWAlpha,RefSeq-94,Caudovirales,Podoviridae,,Jwalphavirus
Achromobacter phage JWF,RefSeq-94,Caudovirales,Siphoviridae,,
Achromobacter phage JWX,RefSeq-94,Caudovirales,Siphoviridae,,Jwxvirus
Achromobacter phage phiAxp-1,RefSeq-94,Caudovirales,Siphoviridae,,
Achromobacter phage phiAxp-2,RefSeq-94,Caudovirales,Siphoviridae,,
Achromobacter phage phiAxp-3,RefSeq-94,Caudovirales,Podoviridae,,Jwalphavirus
Acidianus bottle-shaped virus,RefSeq-94,,Ampullaviridae,,Ampullavirus
Acidianus bottle-shaped virus 2,RefSeq-94,,Ampullaviridae,,Ampullavirus
Acidianus bottle-shaped virus 3,RefSeq-94,,Ampullaviridae,,Ampullavirus
Acidianus filamentous virus 1,RefSeq-94,Ligamenvirales,Lipothrixviridae,,Gammalipothrixvirus
Acidianus filamentous virus 2,RefSeq-94,Ligamenvirales,Lipothrixviridae,,Deltalipothrixvirus
Acidianus filamentous virus 3,RefSeq-94,Ligamenvirales,Lipothrixviridae,,Betalipothrixvirus
Acidianus filamentous virus 6,RefSeq-94,Ligamenvirales,Lipothrixviridae,,Betalipothrixvirus
Acidianus filamentous virus 7,RefSeq-94,Ligamenvirales,Lipothrixviridae,,Betalipothrixvirus
Acidianus filamentous virus 8,RefSeq-94,Ligamenvirales,Lipothrixviridae,,Betalipothrixvirus
Acidianus filamentous virus 9,RefSeq-94,Ligamenvirales,Lipothrixviridae,,Betalipothrixvirus
Acidianus rod-shaped virus 1,RefSeq-94,Ligamenvirales,Rudiviridae,,Rudivirus
Acidianus rod-shaped virus 2,RefSeq-94,Ligamenvirales,Rudiviridae,,Rudivirus
Acidianus spindle-shaped virus 1,RefSeq-94,,Fuselloviridae,,Betafusellovirus
Acidianus tailed spindle virus,RefSeq-94,,Bicaudaviridae,,
Acidianus two-tailed virus,RefSeq-94,,Bicaudaviridae,,Bicaudavirus
Acidovorax phage ACP17,RefSeq-94,Caudovirales,Myoviridae,,Busanvirus
Acinetobacter phage AB1,RefSeq-94,Caudovirales,Myoviridae,,Ap22virus
Acinetobacter phage AB3,RefSeq-94,Caudovirales,Podoviridae,Autographivirinae,Fri1virus
Acinetobacter phage AP205,RefSeq-94,,Leviviridae,,
Acinetobacter phage AP22,RefSeq-94,Caudovirales,Myoviridae,,Ap22virus
Acinetobacter phage AbP2,RefSeq-94,Caudovirales,Myoviridae,,Obolenskvirus
Acinetobacter phage Abp1,RefSeq-94,Caudovirales,Podoviridae,Autographivirinae,Fri1virus
Acinetobacter phage Ac42,RefSeq-94,Caudovirales,Myoviridae,Tevenvirinae,
Acinetobacter phage Acj61,RefSeq-94,Caudovirales,Myoviridae,Tevenvirinae,
Acinetobacter phage Acj9,RefSeq-94,Caudovirales,Myoviridae,Tevenvirinae,
Acinetobacter phage Bphi-B1251,RefSeq-94,Caudovirales,Siphoviridae,,Vieuvirus
Acinetobacter phage Fri1,RefSeq-94,Caudovirales,Podoviridae,Autographivirinae,Fri1virus
Acinetobacter phage IME-AB2,RefSeq-94,Caudovirales,Myoviridae,,Ap22virus
Acinetobacter phage IME200,RefSeq-94,Caudovirales,Podoviridae,Autographivirinae,Fri1virus
Acinetobacter phage IME_AB3,RefSeq-94,Caudovirales,Siphoviridae,,
Acinetobacter phage LZ35,RefSeq-94,Caudovirales,Myoviridae,,Obolenskvirus
Acinetobacter phage Petty,RefSeq-94,Caudovirales,Podoviridae,Autographivirinae,Friunavirus
Acinetobacter phage Presley,RefSeq-94,Caudovirales,Podoviridae,,
Acinetobacter phage SH-Ab 15519,RefSeq-94,Caudovirales,Podoviridae,Autographivirinae,Friunavirus
Acinetobacter phage WCHABP1,RefSeq-94,Caudovirales,Myoviridae,,Obolenskvirus
Acinetobacter phage WCHABP12,RefSeq-94,Caudovirales,Myoviridae,,Obolenskvirus
Acinetobacter phage WCHABP5,RefSeq-94,Caudovirales,Podoviridae,Autographivirinae,Friunavirus
Acinetobacter phage YMC-13-01-C62,RefSeq-94,Caudovirales,Myoviridae,,Ap22virus
Acinetobacter phage YMC11/11/R3177,RefSeq-94,Caudovirales,Siphoviridae,,Vieuvirus
Acinetobacter phage YMC11/12/R2315,RefSeq-94,Caudovirales,Myoviridae,,Obolenskvirus
Acinetobacter phage YMC13/03/R2096,RefSeq-94,Caudovirales,Myoviridae,,
Acinetobacter phage ZZ1,RefSeq-94,Caudovirales,Myoviridae,Tevenvirinae,
Acinetobacter phage phiAB1,RefSeq-94,Caudovirales,Podoviridae,Autographivirinae,Fri1virus
Acinetobacter phage phiAB6,RefSeq-94,Caudovirales,Podoviridae,Autographivirinae,Friunavirus
Acinetobacter phage phiAC-1,RefSeq-94,Caudovirales,Myoviridae,,
Acinetobacter phage vB_AbaM_Acibel004,RefSeq-94,Caudovirales,Myoviridae,,
Acinetobacter phage vB_AbaM_ME3,RefSeq-94,Caudovirales,Myoviridae,,Metrivirus
Acinetobacter phage vB_AbaM_phiAbaA1,RefSeq-94,Caudovirales,Myoviridae,,
Acinetobacter phage vB_AbaP_AS11,RefSeq-94,Caudovirales,Podoviridae,Autographivirinae,Friunavirus
Acinetobacter phage vB_AbaP_AS12,RefSeq-94,Caudovirales,Podoviridae,Autographivirinae,Friunavirus
Acinetobacter phage vB_AbaP_Acibel007,RefSeq-94,Caudovirales,Podoviridae,Autographivirinae,Friunavirus
Acinetobacter phage vB_AbaP_B1,RefSeq-94,Caudovirales,Podoviridae,Autographivirinae,Friunavirus
Acinetobacter phage vB_AbaP_B3,RefSeq-94,Caudovirales,Podoviridae,Autographivirinae,Friunavirus
Acinetobacter phage vB_AbaP_B5,RefSeq-94,Caudovirales,Podoviridae,Autographivirinae,Friunavirus
Acinetobacter phage vB_AbaP_D2,RefSeq-94,Caudovirales,Podoviridae,Autographivirinae,Friunavirus
Acinetobacter phage vB_AbaP_PD-6A3,RefSeq-94,Caudovirales,Podoviridae,Autographivirinae,Fri1virus
Acinetobacter phage vB_AbaP_PD-AB9,RefSeq-94,Caudovirales,Podoviridae,Autographivirinae,Fri1virus
Acinetobacter phage vB_AbaS_Loki,RefSeq-94,Caudovirales,Siphoviridae,,
Acinetobacter phage vB_AbaS_TRS1,RefSeq-94,Caudovirales,Siphoviridae,,Vieuvirus
Acinetobacter phage vB_ApiP_P1,RefSeq-94,Caudovirales,Podoviridae,Autographivirinae,Friunavirus
Acinetobacter phage vB_ApiP_P2,RefSeq-94,Caudovirales,Podoviridae,Autographivirinae,Friunavirus
Acinetobacter virus 133,RefSeq-94,Caudovirales,Myoviridae,Tevenvirinae,
Actinomyces virus Av1,RefSeq-94,Caudovirales,Podoviridae,Picovirinae,
Actinoplanes phage phiAsp2,RefSeq-94,Caudovirales,Siphoviridae,,
Aeromonas phage AS-gz,RefSeq-94,Caudovirales,Myoviridae,,Tulanevirus
Aeromonas phage Aes012,RefSeq-94,Caudovirales,Myoviridae,,Secunda5virus
Aeromonas phage Aes508,RefSeq-94,Caudovirales,Myoviridae,,Secunda5virus
Aeromonas phage CC2,RefSeq-94,Caudovirales,Myoviridae,Tevenvirinae,
Aeromonas phage PX29,RefSeq-94,Caudovirales,Myoviridae,Tevenvirinae,
Aeromonas phage pAh6-C,RefSeq-94,Caudovirales,Myoviridae,,
Aeromonas phage pIS4-A,RefSeq-94,Caudovirales,Siphoviridae,,Pis4avirus
Aeromonas phage phiAS4,RefSeq-94,Caudovirales,Myoviridae,,Secunda5virus
Aeromonas phage phiAS5,RefSeq-94,Caudovirales,Myoviridae,Tevenvirinae,
Aeromonas phage phiAS7,RefSeq-94,Caudovirales,Podoviridae,Autographivirinae,
Aeromonas phage vB_AsaM-56,RefSeq-94,Caudovirales,Myoviridae,,Popoffvirus
Aeromonas virus 25,RefSeq-94,Caudovirales,Myoviridae,,Secunda5virus
Aeromonas virus 31,RefSeq-94,Caudovirales,Myoviridae,,Secunda5virus
Aeromonas virus 44RR2,RefSeq-94,Caudovirales,Myoviridae,,Biquartavirus
Aeromonas virus 65,RefSeq-94,Caudovirales,Myoviridae,Tevenvirinae,
Aeromonas virus Aeh1,RefSeq-94,Caudovirales,Myoviridae,Tevenvirinae,
Aeromonas virus phiO18P,RefSeq-94,Caudovirales,Myoviridae,Peduovirinae,Hp1virus
Aeropyrum globular virus 1,RefSeq-94,,,,
Aeropyrum pernix ovoid virus 1,RefSeq-94,,Guttaviridae,,Betaguttavirus
Aeropyrum pernix spindle-shaped virus 1,RefSeq-94,,,,
Aggregatibacter phage S1249,RefSeq-94,Caudovirales,Myoviridae,,
Agrobacterium phage 7-7-1,RefSeq-94,Caudovirales,Myoviridae,,
Agrobacterium phage Atu_ph07,RefSeq-94,Caudovirales,Myoviridae,,Polybotosvirus
Alces alces faeces associated microvirus MP10 5560,RefSeq-94,,Microviridae,,
Alces alces faeces associated microvirus MP11 5517,RefSeq-94,,Microviridae,,
Alces alces faeces associated microvirus MP12 5423,RefSeq-94,,Microviridae,,
Alces alces faeces associated microvirus MP15 5067,RefSeq-94,,Microviridae,,
Alces alces faeces associated microvirus MP18 4940,RefSeq-94,,Microviridae,,
Alces alces faeces associated microvirus MP21 4718,RefSeq-94,,Microviridae,,
Alces alces faeces associated microvirus MP3 6497,RefSeq-94,,Microviridae,,
Alphaproteobacteria virus phiJl001,RefSeq-94,Caudovirales,Siphoviridae,,Yuavirus
Alteromonas phage vB_AmaP_AD45-P1,RefSeq-94,Caudovirales,Podoviridae,,
Anabaena phage A-4L,RefSeq-94,Caudovirales,Podoviridae,,
Aquamicrobium phage P14,RefSeq-94,Caudovirales,Podoviridae,,Aqualcavirus
Archaeal BJ1 virus,RefSeq-94,Caudovirales,Siphoviridae,,
Arthrobacter phage Abidatro,RefSeq-94,Caudovirales,Siphoviridae,,Galaxyvirus
Arthrobacter phage Adat,RefSeq-94,Caudovirales,Podoviridae,,Jasminevirus
Arthrobacter phage Amigo,RefSeq-94,Caudovirales,Siphoviridae,,Amigovirus
Arthrobacter phage BarretLemon,RefSeq-94,Caudovirales,Myoviridae,,Marthavirus
Arthrobacter phage Beans,RefSeq-94,Caudovirales,Myoviridae,,Marthavirus
Arthrobacter phage Bennie,RefSeq-94,Caudovirales,Siphoviridae,,Korravirus
Arthrobacter phage Brent,RefSeq-94,Caudovirales,Myoviridae,,Marthavirus
Arthrobacter phage CaptnMurica,RefSeq-94,Caudovirales,Siphoviridae,,Gordonvirus
Arthrobacter phage Circum,RefSeq-94,Caudovirales,Siphoviridae,,Mudcatvirus
Arthrobacter phage Colucci,RefSeq-94,Caudovirales,Myoviridae,,Radnorvirus
Arthrobacter phage Decurro,RefSeq-94,Caudovirales,Siphoviridae,,Decurrovirus
Arthrobacter phage DrRobert,RefSeq-94,Caudovirales,Siphoviridae,,Korravirus
Arthrobacter phage Galaxy,RefSeq-94,Caudovirales,Siphoviridae,,Galaxyvirus
Arthrobacter phage Glenn,RefSeq-94,Caudovirales,Siphoviridae,,Korravirus
Arthrobacter phage Gordon,RefSeq-94,Caudovirales,Siphoviridae,,Gordonvirus
Arthrobacter phage HunterDalle,RefSeq-94,Caudovirales,Siphoviridae,,Korravirus
Arthrobacter phage Jasmine,RefSeq-94,Caudovirales,Podoviridae,,Jasminevirus
Arthrobacter phage Jawnski,RefSeq-94,Caudovirales,Myoviridae,,Marthavirus
Arthrobacter phage Joann,RefSeq-94,Caudovirales,Siphoviridae,,Korravirus
Arthrobacter phage KellEzio,RefSeq-94,Caudovirales,Siphoviridae,,Kelleziovirus
Arthrobacter phage Kitkat,RefSeq-94,Caudovirales,Siphoviridae,,Kelleziovirus
Arthrobacter phage Korra,RefSeq-94,Caudovirales,Siphoviridae,,Korravirus
Arthrobacter phage Laroye,RefSeq-94,Caudovirales,Siphoviridae,,Laroyevirus
Arthrobacter phage Martha,RefSeq-94,Caudovirales,Myoviridae,,Marthavirus
Arthrobacter phage Molivia,RefSeq-94,Caudovirales,Siphoviridae,,Amigovirus
Arthrobacter phage Mudcat,RefSeq-94,Caudovirales,Siphoviridae,,Mudcatvirus
Arthrobacter phage Piccoletto,RefSeq-94,Caudovirales,Myoviridae,,Marthavirus
Arthrobacter phage Preamble,RefSeq-94,Caudovirales,Siphoviridae,,Korravirus
Arthrobacter phage PrincessTrina,RefSeq-94,Caudovirales,Myoviridae,,Arv1virus
