origin,Organism/Name,kingdom,phylum,class,order,family,genus
RefSeq-v211,Aeropyrum coil-shaped virus,,,,,Spiraviridae,Alphaspiravirus
RefSeq-v211,Thermoproteus tenax virus 1,Zilligvirae,Taleaviricota,Tokiviricetes,Primavirales,Tristromaviridae,Betatristromavirus
RefSeq-v211,His 1 virus,,,,,Halspiviridae,Salterprovirus
RefSeq-v211,His2 virus,Trapavirae,Saleviricota,Huolimaviricetes,Haloruvirales,Pleolipoviridae,Gammapleolipovirus
RefSeq-v211,Sulfolobus islandicus filamentous virus,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus
RefSeq-v211,Acidianus filamentous virus 1,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Lipothrixviridae,Gammalipothrixvirus
RefSeq-v211,Pyrobaculum spherical virus,,,,,Globuloviridae,Alphaglobulovirus
RefSeq-v211,Thermoproteus tenax spherical virus 1,,,,,Globuloviridae,Alphaglobulovirus
RefSeq-v211,Acidianus filamentous virus 2,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Lipothrixviridae,Deltalipothrixvirus
RefSeq-v211,Haloarcula hispanica virus SH1,Helvetiavirae,Dividoviricota,Laserviricetes,Halopanivirales,Sphaerolipoviridae,Alphasphaerolipovirus
RefSeq-v211,Acidianus filamentous virus 3,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus
RefSeq-v211,Acidianus filamentous virus 6,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus
RefSeq-v211,Acidianus filamentous virus 7,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus
RefSeq-v211,Acidianus filamentous virus 8,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus
RefSeq-v211,Pyrococcus abyssi virus 1,,,,,,
RefSeq-v211,Acidianus bottle-shaped virus,,,,,Ampullaviridae,Bottigliavirus
RefSeq-v211,Acidianus filamentous virus 9,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus
