origin,Organism/Name,kingdom,phylum,class,order,family,subfamily,genus
RefSeq-v207,Acholeplasma phage MV-L51,Loebvirae,Hofneiviricota,Faserviricetes,Tubulavirales,Plectroviridae,,Plectrovirus
RefSeq-v207,Acholeplasma virus L2,,,,,Plasmaviridae,,Plasmavirus
RefSeq-v207,Achromobacter phage 83-24,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Steinhofvirus
RefSeq-v207,Achromobacter phage JWAlpha,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Schitoviridae,Rothmandenesvirinae,Jwalphavirus
RefSeq-v207,Achromobacter phage JWF,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,
RefSeq-v207,Achromobacter phage JWX,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Steinhofvirus
RefSeq-v207,Achromobacter phage Mano,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,
RefSeq-v207,Achromobacter phage Motura,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Moturavirus
RefSeq-v207,Achromobacter phage phiAxp-1,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,
RefSeq-v207,Achromobacter phage phiAxp-2,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,
RefSeq-v207,Achromobacter phage phiAxp-3,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Schitoviridae,Rothmandenesvirinae,Jwalphavirus
RefSeq-v207,Achromobacter phage vB_AxyP_19-32_Axy04,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Schitoviridae,Rothmandenesvirinae,Dongdastvirus
RefSeq-v207,Achromobacter phage vB_AxyP_19-32_Axy10,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Schitoviridae,Rothmandenesvirinae,Pourcelvirus
RefSeq-v207,Achromobacter phage vB_AxyP_19-32_Axy11,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Schitoviridae,Rothmandenesvirinae,Pourcelvirus
RefSeq-v207,Achromobacter phage vB_AxyP_19-32_Axy12,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Schitoviridae,Rothmandenesvirinae,Dongdastvirus
RefSeq-v207,Achromobacter phage vB_AxyP_19-32_Axy24,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Schitoviridae,Rothmandenesvirinae,Dongdastvirus
RefSeq-v207,Acidianus bottle-shaped virus,,,,,Ampullaviridae,,Bottigliavirus
RefSeq-v207,Acidianus bottle-shaped virus 2,,,,,Ampullaviridae,,Ampullavirus
RefSeq-v207,Acidianus bottle-shaped virus 3,,,,,Ampullaviridae,,Ampullavirus
RefSeq-v207,Acidianus filamentous virus 1,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Lipothrixviridae,,Gammalipothrixvirus
RefSeq-v207,Acidianus filamentous virus 2,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Lipothrixviridae,,Deltalipothrixvirus
RefSeq-v207,Acidianus filamentous virus 3,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Lipothrixviridae,,Betalipothrixvirus
RefSeq-v207,Acidianus filamentous virus 6,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Lipothrixviridae,,Betalipothrixvirus
RefSeq-v207,Acidianus filamentous virus 7,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Lipothrixviridae,,Betalipothrixvirus
RefSeq-v207,Acidianus filamentous virus 8,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Lipothrixviridae,,Betalipothrixvirus
RefSeq-v207,Acidianus filamentous virus 9,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Lipothrixviridae,,Betalipothrixvirus
RefSeq-v207,Acidianus rod-shaped virus 1,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Rudiviridae,,Itarudivirus
RefSeq-v207,Acidianus rod-shaped virus 2,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Rudiviridae,,Hoswirudivirus
RefSeq-v207,Acidianus spindle-shaped virus 1,,,,,Fuselloviridae,,Betafusellovirus
RefSeq-v207,Acidianus tailed spindle virus,,,,,Bicaudaviridae,,
RefSeq-v207,Acidianus two-tailed virus,,,,,Bicaudaviridae,,Bicaudavirus
RefSeq-v207,Acidovorax phage ACP17,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Busanvirus
RefSeq-v207,Acinetobacter phage AB1,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Obolenskvirus
RefSeq-v207,Acinetobacter phage AB3,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Beijerinckvirinae,Friunavirus
RefSeq-v207,Acinetobacter phage AM101,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Twarogvirinae,Lazarusvirus
RefSeq-v207,Acinetobacter phage AP205,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Duinviridae,,Apeevirus
RefSeq-v207,Acinetobacter phage AP22,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Obolenskvirus
RefSeq-v207,Acinetobacter phage AbKT21phiIII,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Beijerinckvirinae,Friunavirus
RefSeq-v207,Acinetobacter phage AbP2,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Obolenskvirus
RefSeq-v207,Acinetobacter phage AbTZA1,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Twarogvirinae,Hadassahvirus
RefSeq-v207,Acinetobacter phage Abp1,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Beijerinckvirinae,Friunavirus
RefSeq-v207,Acinetobacter phage Ac42,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Tevenvirinae,
RefSeq-v207,Acinetobacter phage Acj61,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Twarogvirinae,Lasallevirus
RefSeq-v207,Acinetobacter phage Acj9,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Twarogvirinae,Acajnonavirus
RefSeq-v207,Acinetobacter phage Apostate,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Twarogvirinae,Lazarusvirus
RefSeq-v207,Acinetobacter phage Berthold,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Twarogvirinae,Lazarusvirus
RefSeq-v207,Acinetobacter phage Fri1,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Beijerinckvirinae,Friunavirus
RefSeq-v207,Acinetobacter phage IME-AB2,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Obolenskvirus
RefSeq-v207,Acinetobacter phage IME200,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Beijerinckvirinae,Friunavirus
RefSeq-v207,Acinetobacter phage IMEAB3,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Lokivirus
RefSeq-v207,Acinetobacter phage KARL-1,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Twarogvirinae,Lazarusvirus
RefSeq-v207,Acinetobacter phage Kimel,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Twarogvirinae,Lazarusvirus
RefSeq-v207,Acinetobacter phage Konradin,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Twarogvirinae,Lazarusvirus
RefSeq-v207,Acinetobacter phage LZ35,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Obolenskvirus
RefSeq-v207,Acinetobacter phage Lazarus,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Twarogvirinae,Lazarusvirus
RefSeq-v207,Acinetobacter phage Loki,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Lokivirus
RefSeq-v207,Acinetobacter phage Petty,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Beijerinckvirinae,Pettyvirus
RefSeq-v207,Acinetobacter phage Presley,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Schitoviridae,,Presleyvirus
RefSeq-v207,Acinetobacter phage SH-Ab 15519,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Beijerinckvirinae,Friunavirus
RefSeq-v207,Acinetobacter phage SWH-Ab-1,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Beijerinckvirinae,Friunavirus
RefSeq-v207,Acinetobacter phage SWH-Ab-3,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Beijerinckvirinae,Friunavirus
RefSeq-v207,Acinetobacter phage VB_ApiP_XC38,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Schitoviridae,,Presleyvirus
RefSeq-v207,Acinetobacter phage WCHABP1,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Obolenskvirus
RefSeq-v207,Acinetobacter phage WCHABP12,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Obolenskvirus
RefSeq-v207,Acinetobacter phage WCHABP5,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Beijerinckvirinae,Friunavirus
RefSeq-v207,Acinetobacter phage YMC-13-01-C62,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Obolenskvirus
RefSeq-v207,Acinetobacter phage YMC/09/02/B1251,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Vieuvirus
RefSeq-v207,Acinetobacter phage YMC11/11/R3177,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Vieuvirus
RefSeq-v207,Acinetobacter phage YMC11/12/R2315,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Obolenskvirus
RefSeq-v207,Acinetobacter phage YMC13/03/R2096,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,
RefSeq-v207,Acinetobacter phage ZZ1,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Twarogvirinae,Zedzedvirus
RefSeq-v207,Acinetobacter phage phiAB1,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Beijerinckvirinae,Friunavirus
RefSeq-v207,Acinetobacter phage phiAB6,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Beijerinckvirinae,Friunavirus
RefSeq-v207,Acinetobacter phage phiAC-1,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,
RefSeq-v207,Acinetobacter phage vB_AbaM_Acibel004,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Saclayvirus
RefSeq-v207,Acinetobacter phage vB_AbaM_B09_Aci01-1,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Saclayvirus
RefSeq-v207,Acinetobacter phage vB_AbaM_B09_Aci02-2,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Saclayvirus
RefSeq-v207,Acinetobacter phage vB_AbaM_B09_Aci05,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Saclayvirus
RefSeq-v207,Acinetobacter phage vB_AbaM_ME3,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Metrivirus
RefSeq-v207,Acinetobacter phage vB_AbaM_PhT2,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Twarogvirinae,Hadassahvirus
RefSeq-v207,Acinetobacter phage vB_AbaM_phiAbaA1,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Saclayvirus
RefSeq-v207,Acinetobacter phage vB_AbaP_46-62_Aci07,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Beijerinckvirinae,Friunavirus
RefSeq-v207,Acinetobacter phage vB_AbaP_AS11,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Beijerinckvirinae,Friunavirus
RefSeq-v207,Acinetobacter phage vB_AbaP_AS12,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Beijerinckvirinae,Friunavirus
RefSeq-v207,Acinetobacter phage vB_AbaP_Acibel007,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Beijerinckvirinae,Daemvirus
RefSeq-v207,Acinetobacter phage vB_AbaP_B09_Aci08,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Beijerinckvirinae,Friunavirus
RefSeq-v207,Acinetobacter phage vB_AbaP_B1,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Beijerinckvirinae,Friunavirus
RefSeq-v207,Acinetobacter phage vB_AbaP_B3,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Beijerinckvirinae,Friunavirus
RefSeq-v207,Acinetobacter phage vB_AbaP_B5,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Beijerinckvirinae,Friunavirus
RefSeq-v207,Acinetobacter phage vB_AbaP_D2,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Beijerinckvirinae,Friunavirus
RefSeq-v207,Acinetobacter phage vB_AbaP_PD-6A3,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Beijerinckvirinae,Friunavirus
RefSeq-v207,Acinetobacter phage vB_AbaP_PD-AB9,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Beijerinckvirinae,Friunavirus
RefSeq-v207,Acinetobacter phage vB_AbaS_TRS1,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Vieuvirus
