origin,Organism/Name,kingdom,phylum,class,order,family,genus
RefSeq-v211,Escherichia virus FI,Orthornavirae,Lenarviricota,Leviviricetes,Levivirales,Leviviridae,Allolevivirus
RefSeq-v211,Parabacteroides phage YZ-2015b,Sangervirae,Phixviricota,Malgrandaviricetes,Petitvirales,Microviridae,
RefSeq-v211,Parabacteroides phage YZ-2015a,Sangervirae,Phixviricota,Malgrandaviricetes,Petitvirales,Microviridae,
RefSeq-v211,Ralstonia phage 1 NP-2014,Loebvirae,Hofneiviricota,Faserviricetes,Tubulavirales,Inoviridae,
RefSeq-v211,Stenotrophomonas phage PSH1,Loebvirae,Hofneiviricota,Faserviricetes,Tubulavirales,Inoviridae,Psecadovirus
RefSeq-v211,Caulobacter phage phiCb5,Orthornavirae,Lenarviricota,Leviviricetes,Timlovirales,Steitzviridae,Cebevirus
RefSeq-v211,Ralstonia phage RSS0,Loebvirae,Hofneiviricota,Faserviricetes,Tubulavirales,Inoviridae,Restivirus
RefSeq-v211,Enterobacteria phage M,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Empivirus
RefSeq-v211,Enterobacteria phage Hgal1,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Hagavirus
RefSeq-v211,Enterobacteria phage C-1 INW-2012,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Cunavirus
RefSeq-v211,Vibrio phage VFJ,Loebvirae,Hofneiviricota,Faserviricetes,Tubulavirales,Inoviridae,Saetivirus
RefSeq-v211,Stenotrophomonas phage SMA7,Loebvirae,Hofneiviricota,Faserviricetes,Tubulavirales,Inoviridae,Subteminivirus
RefSeq-v211,Cellulophaga phage phi12:2,Sangervirae,Phixviricota,Malgrandaviricetes,Petitvirales,Microviridae,
RefSeq-v211,Cellulophaga phage phi48:2,,,,,,
RefSeq-v211,Cellulophaga phage phi12a:1,Sangervirae,Phixviricota,Malgrandaviricetes,Petitvirales,Microviridae,
RefSeq-v211,Ralstonia phage RSS20,Loebvirae,Hofneiviricota,Faserviricetes,Tubulavirales,Inoviridae,
RefSeq-v211,Ralstonia phage RSS30,Loebvirae,Hofneiviricota,Faserviricetes,Tubulavirales,Inoviridae,
RefSeq-v211,Ralstonia phage RS603,Loebvirae,Hofneiviricota,Faserviricetes,Tubulavirales,Inoviridae,Habenivirus
RefSeq-v211,Microviridae IME-16,Sangervirae,Phixviricota,Malgrandaviricetes,Petitvirales,Microviridae,
RefSeq-v211,Escherichia phage phiK,Sangervirae,Phixviricota,Malgrandaviricetes,Petitvirales,Microviridae,Alphatrevirus
RefSeq-v211,Pseudomonas phage Pf3,Loebvirae,Hofneiviricota,Faserviricetes,Tubulavirales,Inoviridae,Tertilicivirus
RefSeq-v211,Vibrio phage fs2,Loebvirae,Hofneiviricota,Faserviricetes,Tubulavirales,Inoviridae,Saetivirus
RefSeq-v211,Chlamydia phage CPG1,Sangervirae,Phixviricota,Malgrandaviricetes,Petitvirales,Microviridae,Chlamydiamicrovirus
RefSeq-v211,Spiroplasma virus SpV4,Sangervirae,Phixviricota,Malgrandaviricetes,Petitvirales,Microviridae,Spiromicrovirus
RefSeq-v211,Escherichia virus Qbeta,Orthornavirae,Lenarviricota,Leviviricetes,Levivirales,Leviviridae,Allolevivirus
RefSeq-v211,Vibrio phage KSF1,Loebvirae,Hofneiviricota,Faserviricetes,Tubulavirales,Inoviridae,Capistrivirus
RefSeq-v211,Enterobacteria phage WA13 sensu lato,Sangervirae,Phixviricota,Malgrandaviricetes,Petitvirales,Microviridae,Alphatrevirus
RefSeq-v211,Enterobacteria phage ID18 sensu lato,Sangervirae,Phixviricota,Malgrandaviricetes,Petitvirales,Microviridae,Gequatrovirus
RefSeq-v211,Vibrio virus fs1,Loebvirae,Hofneiviricota,Faserviricetes,Tubulavirales,Inoviridae,Fibrovirus
RefSeq-v211,Vibrio virus Vf33,Loebvirae,Hofneiviricota,Faserviricetes,Tubulavirales,Inoviridae,Villovirus
RefSeq-v211,Escherichia phage St-1,Sangervirae,Phixviricota,Malgrandaviricetes,Petitvirales,Microviridae,Alphatrevirus
RefSeq-v211,Chlamydia virus Chp1,Sangervirae,Phixviricota,Malgrandaviricetes,Petitvirales,Microviridae,Chlamydiamicrovirus
RefSeq-v211,Pseudomonas phage phi8,Orthornavirae,Duplornaviricota,Vidaverviricetes,Mindivirales,Cystoviridae,Cystovirus
RefSeq-v211,Vibrio phage VSK,Loebvirae,Hofneiviricota,Faserviricetes,Tubulavirales,Inoviridae,Fibrovirus
RefSeq-v211,Acholeplasma phage MV-L51,Loebvirae,Hofneiviricota,Faserviricetes,Tubulavirales,Plectroviridae,Plectrovirus
RefSeq-v211,Chlamydia phage 2,Sangervirae,Phixviricota,Malgrandaviricetes,Petitvirales,Microviridae,Chlamydiamicrovirus
RefSeq-v211,Propionibacterium phage B5,Loebvirae,Hofneiviricota,Faserviricetes,Tubulavirales,Paulinoviridae,Bifilivirus
RefSeq-v211,Pseudomonas phage phi12,Orthornavirae,Duplornaviricota,Vidaverviricetes,Mindivirales,Cystoviridae,Cystovirus
RefSeq-v211,Acinetobacter phage AP205,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Duinviridae,Apeevirus
RefSeq-v211,Escherichia virus M13,Loebvirae,Hofneiviricota,Faserviricetes,Tubulavirales,Inoviridae,Inovirus
RefSeq-v211,Vibrio phage VfO4K68,Loebvirae,Hofneiviricota,Faserviricetes,Tubulavirales,Inoviridae,Versovirus
RefSeq-v211,Pseudomonas phage PP7,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Pepevirus
