Organism/Name,origin,order,family,genus
Acholeplasma phage MV-L1,RefSeq-85,,Inoviridae,Plectrovirus
Acholeplasma virus L2,RefSeq-85,,Plasmaviridae,Plasmavirus
Achromobacter phage 83-24,RefSeq-85,Caudovirales,Siphoviridae,Jwxvirus
Achromobacter phage JWAlpha,RefSeq-85,Caudovirales,Podoviridae,Jwalphavirus
Achromobacter phage JWF,RefSeq-85,Caudovirales,Siphoviridae,
Achromobacter phage JWX,RefSeq-85,Caudovirales,Siphoviridae,Jwxvirus
Achromobacter phage phiAxp-1,RefSeq-85,Caudovirales,Siphoviridae,
Achromobacter phage phiAxp-2,RefSeq-85,Caudovirales,Siphoviridae,
Achromobacter phage phiAxp-3,RefSeq-85,Caudovirales,Podoviridae,Jwalphavirus
Acidianus bottle-shaped virus,RefSeq-85,,Ampullaviridae,Ampullavirus
Acidianus bottle-shaped virus 2,RefSeq-85,,Ampullaviridae,
Acidianus bottle-shaped virus 3,RefSeq-85,,Ampullaviridae,
Acidianus filamentous virus 1,RefSeq-85,Ligamenvirales,Lipothrixviridae,Gammalipothrixvirus
Acidianus filamentous virus 2,RefSeq-85,Ligamenvirales,Lipothrixviridae,Deltalipothrixvirus
Acidianus filamentous virus 3,RefSeq-85,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus
Acidianus filamentous virus 6,RefSeq-85,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus
Acidianus filamentous virus 7,RefSeq-85,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus
Acidianus filamentous virus 8,RefSeq-85,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus
Acidianus filamentous virus 9,RefSeq-85,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus
Acidianus rod-shaped virus 1,RefSeq-85,Ligamenvirales,Rudiviridae,Rudivirus
Acidianus rod-shaped virus 2,RefSeq-85,Ligamenvirales,Rudiviridae,
Acidianus spindle-shaped virus 1,RefSeq-85,,Fuselloviridae,Betafusellovirus
Acidianus tailed spindle virus,RefSeq-85,,Bicaudaviridae,
Acidianus two-tailed virus,RefSeq-85,,Bicaudaviridae,Bicaudavirus
Acinetobacter bacteriophage AP22,RefSeq-85,Caudovirales,Myoviridae,Ap22virus
Acinetobacter phage AB3,RefSeq-85,Caudovirales,Podoviridae,Fri1virus
Acinetobacter phage AP205,RefSeq-85,,Leviviridae,
Acinetobacter phage Abp1,RefSeq-85,Caudovirales,Podoviridae,Fri1virus
Acinetobacter phage Ac42,RefSeq-85,Caudovirales,Myoviridae,
Acinetobacter phage Acj61,RefSeq-85,Caudovirales,Myoviridae,
Acinetobacter phage Acj9,RefSeq-85,Caudovirales,Myoviridae,
Acinetobacter phage Bphi-B1251,RefSeq-85,Caudovirales,Podoviridae,
Acinetobacter phage Fri1,RefSeq-85,Caudovirales,Podoviridae,Fri1virus
Acinetobacter phage IME_AB3,RefSeq-85,Caudovirales,Siphoviridae,
Acinetobacter phage LZ35,RefSeq-85,,,
Acinetobacter phage Petty,RefSeq-85,Caudovirales,Podoviridae,
Acinetobacter phage Presley,RefSeq-85,Caudovirales,Podoviridae,
Acinetobacter phage YMC-13-01-C62,RefSeq-85,Caudovirales,Myoviridae,Ap22virus
Acinetobacter phage YMC11/12/R2315,RefSeq-85,Caudovirales,Myoviridae,
Acinetobacter phage YMC13/03/R2096,RefSeq-85,Caudovirales,Myoviridae,
Acinetobacter phage ZZ1,RefSeq-85,Caudovirales,Myoviridae,
Acinetobacter phage phiAB1,RefSeq-85,Caudovirales,Podoviridae,Fri1virus
Acinetobacter phage phiAB6,RefSeq-85,,,
Acinetobacter phage phiAC-1,RefSeq-85,Caudovirales,Myoviridae,
Acinetobacter phage vB_AbaM_Acibel004,RefSeq-85,Caudovirales,Myoviridae,
Acinetobacter phage vB_AbaM_IME200,RefSeq-85,Caudovirales,Podoviridae,Fri1virus
Acinetobacter phage vB_AbaM_phiAbaA1,RefSeq-85,,,
Acinetobacter phage vB_AbaP_Acibel007,RefSeq-85,Caudovirales,Podoviridae,
Acinetobacter phage vB_AbaP_PD-6A3,RefSeq-85,Caudovirales,Podoviridae,Fri1virus
Acinetobacter phage vB_AbaP_PD-AB9,RefSeq-85,Caudovirales,Podoviridae,Fri1virus
Acinetobacter phage vB_AbaS_TRS1,RefSeq-85,,,
Acinetobacter virus 133,RefSeq-85,Caudovirales,Myoviridae,
Actinomyces virus Av1,RefSeq-85,Caudovirales,Podoviridae,
Actinoplanes phage phiAsp2,RefSeq-85,Caudovirales,Siphoviridae,
Aeromonas phage Aes012,RefSeq-85,Caudovirales,Myoviridae,Secunda5virus
Aeromonas phage Aes508,RefSeq-85,Caudovirales,Myoviridae,Secunda5virus
Aeromonas phage CC2,RefSeq-85,Caudovirales,Myoviridae,
Aeromonas phage PX29,RefSeq-85,Caudovirales,Myoviridae,
Aeromonas phage pAh6-C,RefSeq-85,Caudovirales,Myoviridae,
Aeromonas phage phiAS4,RefSeq-85,Caudovirales,Myoviridae,Secunda5virus
Aeromonas phage phiAS5,RefSeq-85,Caudovirales,Myoviridae,
Aeromonas phage phiAS7,RefSeq-85,Caudovirales,Podoviridae,
Aeromonas phage vB_AsaM-56,RefSeq-85,Caudovirales,Myoviridae,
Aeromonas virus 25,RefSeq-85,Caudovirales,Myoviridae,Secunda5virus
Aeromonas virus 31,RefSeq-85,Caudovirales,Myoviridae,Secunda5virus
Aeromonas virus 44RR2,RefSeq-85,Caudovirales,Myoviridae,Biquartavirus
Aeromonas virus 65,RefSeq-85,Caudovirales,Myoviridae,
Aeromonas virus Aeh1,RefSeq-85,Caudovirales,Myoviridae,
Aeromonas virus phiO18P,RefSeq-85,Caudovirales,Myoviridae,Hp1virus
Aeropyrum pernix ovoid virus 1,RefSeq-85,,Guttaviridae,Betaguttavirus
Aeropyrum pernix spindle-shaped virus 1,RefSeq-85,,,
Aggregatibacter phage S1249,RefSeq-85,,,
Agrobacterium phage 7-7-1,RefSeq-85,Caudovirales,Myoviridae,
Alteromonas phage vB_AmaP_AD45-P1,RefSeq-85,Caudovirales,Podoviridae,
Anabaena phage A-4L,RefSeq-85,Caudovirales,Podoviridae,
Archaeal BJ1 virus,RefSeq-85,Caudovirales,Siphoviridae,
Arthrobacter phage BarretLemon,RefSeq-85,Caudovirales,Myoviridae,Chippewavirus
Arthrobacter phage Decurro,RefSeq-85,Caudovirales,Siphoviridae,Decurrovirus
Arthrobacter phage KellEzio,RefSeq-85,Caudovirales,Siphoviridae,Kelleziovirus
Arthrobacter phage Kitkat,RefSeq-85,Caudovirales,Siphoviridae,Kelleziovirus
Arthrobacter phage Mudcat,RefSeq-85,Caudovirales,Siphoviridae,Mudcatvirus
Arthrobacter phage vB_ArS-ArV2,RefSeq-85,Caudovirales,Siphoviridae,
Arthrobacter phage vB_ArtM-ArV1,RefSeq-85,Caudovirales,Myoviridae,Arvunavirus
Aurantimonas phage AmM-1,RefSeq-85,Caudovirales,,
Azospirillum phage Cd,RefSeq-85,Caudovirales,Siphoviridae,
Bacillus phage 0305phi8-36,RefSeq-85,Caudovirales,Myoviridae,
Bacillus phage AR9,RefSeq-85,,,
Bacillus phage Aurora,RefSeq-85,,,
Bacillus phage AvesoBmore,RefSeq-85,Caudovirales,Myoviridae,B4virus
Bacillus phage B4,RefSeq-85,Caudovirales,Myoviridae,B4virus
Bacillus phage BCD7,RefSeq-85,Caudovirales,Myoviridae,
Bacillus phage BCJA1c,RefSeq-85,Caudovirales,Siphoviridae,
Bacillus phage BCP78,RefSeq-85,Caudovirales,Myoviridae,Tsarbombavirus
Bacillus phage BCP8-2,RefSeq-85,Caudovirales,Myoviridae,Bc431virus
Bacillus phage BM5,RefSeq-85,Caudovirales,Myoviridae,
Bacillus phage BPS10C,RefSeq-85,Caudovirales,Myoviridae,
Bacillus phage BPS13,RefSeq-85,Caudovirales,Myoviridae,Wphvirus
Bacillus phage BalMu-1,RefSeq-85,,,
Bacillus phage Bam35c,RefSeq-85,,Tectiviridae,Betatectivirus
Bacillus phage Bastille,RefSeq-85,Caudovirales,Myoviridae,Bastillevirus
Bacillus phage Bcp1,RefSeq-85,Caudovirales,Myoviridae,Bc431virus
Bacillus phage Belinda,RefSeq-85,,,
Bacillus phage BigBertha,RefSeq-85,Caudovirales,Myoviridae,B4virus
Bacillus phage Bobb,RefSeq-85,Caudovirales,Myoviridae,Agatevirus
Bacillus phage Bp8p-C,RefSeq-85,Caudovirales,Myoviridae,Agatevirus
Bacillus phage BtCS33,RefSeq-85,Caudovirales,Siphoviridae,
Bacillus phage CAM003,RefSeq-85,Caudovirales,Myoviridae,Bastillevirus
Bacillus phage CP-51,RefSeq-85,Caudovirales,Myoviridae,Cp51virus
Bacillus phage CampHawk,RefSeq-85,Caudovirales,Myoviridae,Spo1virus
Bacillus phage Claudi,RefSeq-85,,,
Bacillus phage DIGNKC,RefSeq-85,,,
