Organism/Name,origin,order,family,subfamily,genus
Acholeplasma phage MV-L1,RefSeq-88,,Inoviridae,,Plectrovirus
Acholeplasma virus L2,RefSeq-88,,Plasmaviridae,,Plasmavirus
Achromobacter phage 83-24,RefSeq-88,Caudovirales,Siphoviridae,,Jwxvirus
Achromobacter phage JWAlpha,RefSeq-88,Caudovirales,Podoviridae,,Jwalphavirus
Achromobacter phage JWF,RefSeq-88,Caudovirales,Siphoviridae,,
Achromobacter phage JWX,RefSeq-88,Caudovirales,Siphoviridae,,Jwxvirus
Achromobacter phage phiAxp-1,RefSeq-88,Caudovirales,Siphoviridae,,
Achromobacter phage phiAxp-2,RefSeq-88,Caudovirales,Siphoviridae,,
Achromobacter phage phiAxp-3,RefSeq-88,Caudovirales,Podoviridae,,Jwalphavirus
Acidianus bottle-shaped virus,RefSeq-88,,Ampullaviridae,,Ampullavirus
Acidianus bottle-shaped virus 2,RefSeq-88,,Ampullaviridae,,Ampullavirus
Acidianus bottle-shaped virus 3,RefSeq-88,,Ampullaviridae,,Ampullavirus
Acidianus filamentous virus 1,RefSeq-88,Ligamenvirales,Lipothrixviridae,,Gammalipothrixvirus
Acidianus filamentous virus 2,RefSeq-88,Ligamenvirales,Lipothrixviridae,,Deltalipothrixvirus
Acidianus filamentous virus 3,RefSeq-88,Ligamenvirales,Lipothrixviridae,,Betalipothrixvirus
Acidianus filamentous virus 6,RefSeq-88,Ligamenvirales,Lipothrixviridae,,Betalipothrixvirus
Acidianus filamentous virus 7,RefSeq-88,Ligamenvirales,Lipothrixviridae,,Betalipothrixvirus
Acidianus filamentous virus 8,RefSeq-88,Ligamenvirales,Lipothrixviridae,,Betalipothrixvirus
Acidianus filamentous virus 9,RefSeq-88,Ligamenvirales,Lipothrixviridae,,Betalipothrixvirus
Acidianus rod-shaped virus 1,RefSeq-88,Ligamenvirales,Rudiviridae,,Rudivirus
Acidianus rod-shaped virus 2,RefSeq-88,Ligamenvirales,Rudiviridae,,Rudivirus
