protein_id,contig_id,keywords
YP_001210313.1,Acidianus bottle-shaped virus,hypothetical protein ABV_gp09
YP_001210335.1,Acidianus bottle-shaped virus,hypothetical protein ABV_gp31
YP_001210336.1,Acidianus bottle-shaped virus,hypothetical protein ABV_gp32
YP_001210337.1,Acidianus bottle-shaped virus,hypothetical protein ABV_gp33
YP_001210338.1,Acidianus bottle-shaped virus,hypothetical protein ABV_gp34
YP_001210339.1,Acidianus bottle-shaped virus,hypothetical protein ABV_gp35
YP_001210340.1,Acidianus bottle-shaped virus,hypothetical protein ABV_gp36
YP_001210341.1,Acidianus bottle-shaped virus,hypothetical protein ABV_gp37
YP_001210342.1,Acidianus bottle-shaped virus,hypothetical protein ABV_gp38
YP_001210343.1,Acidianus bottle-shaped virus,hypothetical protein ABV_gp39
YP_001210344.1,Acidianus bottle-shaped virus,hypothetical protein ABV_gp40
YP_001210345.1,Acidianus bottle-shaped virus,hypothetical protein ABV_gp41
YP_001210346.1,Acidianus bottle-shaped virus,hypothetical protein ABV_gp42
YP_001210347.1,Acidianus bottle-shaped virus,hypothetical protein ABV_gp43
YP_001210348.1,Acidianus bottle-shaped virus,hypothetical protein ABV_gp44
YP_001210349.1,Acidianus bottle-shaped virus,hypothetical protein ABV_gp45
YP_001210350.1,Acidianus bottle-shaped virus,hypothetical protein ABV_gp46
YP_001210351.1,Acidianus bottle-shaped virus,hypothetical protein ABV_gp47
YP_001210352.1,Acidianus bottle-shaped virus,hypothetical protein ABV_gp48
YP_001210353.1,Acidianus bottle-shaped virus,hypothetical protein ABV_gp49
YP_001210354.1,Acidianus bottle-shaped virus,hypothetical protein ABV_gp50
YP_001210355.1,Acidianus bottle-shaped virus,hypothetical protein ABV_gp51
YP_001210356.1,Acidianus bottle-shaped virus,hypothetical protein ABV_gp52
YP_001210357.1,Acidianus bottle-shaped virus,hypothetical protein ABV_gp53
YP_001210358.1,Acidianus bottle-shaped virus,hypothetical protein ABV_gp54
YP_001210359.1,Acidianus bottle-shaped virus,hypothetical protein ABV_gp55
YP_001210334.1,Acidianus bottle-shaped virus,hypothetical protein ABV_gp30
YP_001210333.1,Acidianus bottle-shaped virus,hypothetical protein ABV_gp29
YP_001210332.1,Acidianus bottle-shaped virus,hypothetical protein ABV_gp28
YP_001210331.1,Acidianus bottle-shaped virus,hypothetical protein ABV_gp27
YP_001210305.1,Acidianus bottle-shaped virus,hypothetical protein ABV_gp01
YP_001210306.1,Acidianus bottle-shaped virus,hypothetical protein ABV_gp02
YP_001210307.1,Acidianus bottle-shaped virus,hypothetical protein ABV_gp03
YP_001210308.1,Acidianus bottle-shaped virus,hypothetical protein ABV_gp04
YP_001210309.1,Acidianus bottle-shaped virus,putative protein-primed DNA polymerase
YP_001210310.1,Acidianus bottle-shaped virus,hypothetical protein ABV_gp06
YP_001210311.1,Acidianus bottle-shaped virus,hypothetical protein ABV_gp07
YP_001210312.1,Acidianus bottle-shaped virus,hypothetical protein ABV_gp08
YP_001210314.1,Acidianus bottle-shaped virus,putative thymidylate kinase
